avrg_Velocity [km/h],avrg_Throttle [%],avrg_Motor Torque [Nm],avrg_Longitudinal Acceleration [m/s^2],avrg_Regenerative Braking Signal ,avrg_Battery Voltage [V],avrg_Battery Current [A],avrg_Battery Temperature [°C],avrg_Heating Power CAN [kW],avrg_Requested Heating Power [W],avrg_AirCon Power [kW],avrg_Heater Signal,avrg_Ambient Temperature [°C],avrg_Heat Exchanger Temperature [°C],avrg_Cabin Temperature Sensor [°C],Elevation change,Previous SoC,Previous displayed SoC,Next SoC,Next displayed SoC
17.329833333333337,6.510999999999999,-51.467833333333346,-1.196166666666667,0.7333333333333333,391.481,11.786166666666666,22.0,0.0,85.0,1.4656666666666665,1.0,29.0,13.425,25.839999999999993,0.0,85.9,99.5,85.9,99.5
0.618,0.0,-11.187000000000001,-0.21566666666666665,0.2135,390.11883333333316,-5.142166666666665,22.0,0.0,85.0,1.5513333333333335,1.0,29.240833333333335,12.591666666666667,25.756666666666675,0.0,85.9,99.5,85.9,99.5
0.0,0.0,0.0,0.02316666666666667,0.0,390.09999999999985,-5.393833333333333,22.0,0.0,85.0,1.585666666666667,1.0,29.5,11.754166666666666,25.670000000000012,0.0,85.9,99.5,85.9,99.5
0.0,0.0,0.0,0.030166666666666668,0.0,390.09999999999985,-5.313333333333334,22.0,0.0,85.0,1.5600000000000003,1.0,29.657500000000002,11.008333333333333,25.670000000000012,0.0,85.9,99.5,85.9,99.5
0.0,0.0,0.0,0.027833333333333335,0.0,390.09999999999985,-5.273166666666667,22.0,0.0,85.0,1.5539999999999998,1.0,30.0,10.3375,25.670000000000012,0.0,85.9,99.5,85.9,99.5
0.0,0.0,0.0,0.024,0.0,390.09999999999985,-5.2204999999999995,22.0,0.0,85.0,1.5356666666666672,1.0,30.0,9.754166666666666,25.616666666666674,0.0,85.9,99.5,85.9,99.5
11.0735,34.150333333333336,94.14666666666668,1.5111666666666668,0.0,387.07883333333325,-40.82266666666667,22.0,0.0,85.0,1.5218333333333331,1.0,30.00633333333333,9.254166666666666,25.538,0.0,85.9,99.5,85.7,99.5
40.959666666666664,36.042666666666676,36.38516666666668,0.4438333333333333,0.16666666666666666,386.71133333333336,-35.903,22.0,0.0,85.0,1.4541666666666666,1.0,30.243666666666666,8.920833333333333,25.509999999999998,0.0,85.7,99.5,85.6,99.5
39.313500000000005,24.884500000000003,-14.499,-0.4253333333333334,0.25,390.3900000000001,5.124833333333333,22.0,0.0,85.0,1.4359999999999997,1.0,30.0,8.491666666666667,25.509999999999998,0.0,85.6,99.5,85.7,99.5
31.031000000000002,17.356333333333335,-29.964,-0.7055,0.16883333333333334,391.26450000000006,11.866666666666665,22.0,0.0,85.0,1.4969999999999997,1.0,30.0,8.0125,25.509999999999998,0.0,85.7,99.5,85.7,99.5
22.6025,27.515166666666666,-6.298333333333334,-0.29216666666666663,0.0,390.2258333333333,-3.2043333333333335,22.0,0.0,85.0,1.574833333333333,1.0,30.0,7.754166666666666,25.509999999999998,0.0,85.7,99.5,85.7,99.5
10.495666666666667,2.3066666666666666,-48.65216666666666,-1.025,0.6333333333333333,390.77516666666656,3.2601666666666658,22.0,0.0,85.0,1.6801666666666668,1.0,30.0,7.5,25.4805,0.0,85.7,99.5,85.7,99.5
1.5249999999999997,7.052333333333334,6.747333333333334,0.030166666666666665,0.0,389.9805,-6.477333333333334,22.0,0.0,85.0,1.7213333333333338,1.0,30.319166666666664,7.170833333333333,25.425499999999996,0.0,85.7,99.5,85.7,99.5
0.15366666666666667,0.0,-1.7925,-0.09600000000000003,0.0,390.0033333333333,-5.5840000000000005,22.0,0.0,85.0,1.623666666666666,1.0,30.5,6.991666666666666,25.339999999999993,0.0,85.7,99.5,85.7,99.5
0.0,0.0,0.0,-0.03916666666666666,0.0,390.0066666666667,-5.45,22.0,0.0,85.0,1.5999999999999994,1.0,30.5,6.5125,25.311666666666664,0.0,85.7,99.5,85.6,99.0
0.0,0.0,0.0,-0.03966666666666666,0.0,390.0,-5.444333333333332,22.0,0.0,85.0,1.5999999999999994,1.0,30.5675,6.5,25.339999999999993,0.0,85.6,99.0,85.6,99.0
6.483,27.478333333333328,55.611999999999995,0.8574999999999999,0.0,388.8798333333333,-19.134166666666665,22.0,0.0,85.0,1.5999999999999994,1.0,31.0,6.3375,25.31283333333334,0.0,85.6,99.0,85.6,99.0
25.055833333333336,29.230166666666666,14.331999999999999,0.08600000000000003,0.11666666666666667,388.9935,-14.145833333333334,22.0,0.0,85.0,1.5859999999999994,1.0,31.0,6.0,25.170000000000005,0.0,85.6,99.0,85.5,99.0
22.64,30.659666666666666,10.982333333333333,0.025166666666666667,0.1575,389.1988333333334,-12.894833333333336,22.0,0.092,85.0,1.5999999999999994,1.0,31.0,6.0,25.064166666666665,-0.21000000000003638,85.5,99.0,85.5,99.0
33.69533333333333,39.04516666666666,31.097166666666666,0.3706666666666667,0.0,387.6589999999999,-28.53483333333333,22.0,0.8279999999999998,85.0,1.616666666666667,1.0,31.0,5.670833333333333,25.009999999999998,-0.31999999999993634,85.5,99.0,85.4,99.0
39.40916666666667,36.73833333333334,8.591166666666668,0.017833333333333333,0.0,388.7866666666667,-13.929166666666665,22.0,0.0,85.0,1.6398333333333333,1.0,31.0,5.5,24.928333333333335,-0.3100000000000591,85.4,99.0,85.4,99.0
